1,的,0.040943253,0.040943253,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear"
2,一,0.015765678,0.056708931,yi1,one/1/single/a(n)
3,是,0.013516464,0.070225394,shi4,is/are/am/yes/to be
4,不,0.011565212,0.081790607,bu4/bu2,(negative prefix)/not/no
5,了,0.010999916,0.092790523,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
6,在,0.010383149,0.103173672,zai4,(located) at/in/exist
7,人,0.009653541,0.112827213,ren2,man/person/people
8,有,0.009209132,0.122036344,you3,to have/there is/there are/to exist/to be
9,我,0.008733917,0.130770261,wo3,I/me/myself
10,他,0.008246656,0.139016917,ta1,he/him
11,这,0.008020722,0.147037639,zhe4/zhei4,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"
12,个,0.006199251,0.15323689,ge4,(a measure word)/individual
13,们,0.006045626,0.159282517,men,(plural marker for pronouns and a few animate nouns)
14,中,0.005708104,0.164990621,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
15,来,0.005578535,0.170569156,lai2,to come
16,上,0.005527405,0.17609656,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
17,大,0.005447246,0.181543806,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
18,为,0.005369584,0.18691339,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
19,和,0.005221933,0.192135323,he2/he4/huo2/huo4,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"
20,国,0.005092142,0.197227465,guo2,country/state/nation
21,地,0.005009452,0.202236917,de/di4,"(subor. part. adverbial)/-ly, earth/ground/field/place/land"
22,到,0.004987157,0.207224074,dao4,to (a place)/until (a time)/up to/to go/to arrive
23,以,0.004705985,0.211930059,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
24,说,0.004521751,0.21645181,shui4/shuo1,"persuade (politically), to speak/to say"
25,时,0.004307569,0.22075938,shi2,o'clock/time/when/hour/season/period
26,要,0.004191184,0.224950564,yao1/yao4,"demand/ask/request/coerce, important/vital/to want/to be going to/must"
27,就,0.003984972,0.228935536,jiu4,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
28,出,0.003903051,0.232838586,chu1,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"
29,会,0.003797792,0.236636378,hui4/kuai4,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"
30,可,0.003736915,0.240373293,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis)
31,也,0.003670513,0.244043806,ye3,also/too
32,你,0.003644395,0.2476882,ni3,you
33,对,0.003636266,0.251324466,dui4,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
34,生,0.003524635,0.254849101,sheng1,to be born/to give birth/life/to grow
35,能,0.003438471,0.258287572,neng2,can/may/capable/energy/able
36,而,0.003355171,0.261642743,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
37,子,0.003310732,0.264953475,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
38,那,0.003299869,0.268253344,na3/na4/nei4,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"
39,得,0.003259302,0.271512646,de2/de/dei3,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to"
40,于,0.003258454,0.274771101,yu2,"(surname), in/at/to/from/by/than/out of"
41,着,0.00323676,0.27800786,zhao1/zhao2/zhe/zhu4/zhuo2,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply"
42,下,0.003210192,0.281218052,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"
43,自,0.003161107,0.28437916,zi4,from/self/oneself/since
44,之,0.003147237,0.287526396,zhi1,(literary equivalent of 的)/(subor. part.)/him/her/it
45,年,0.003110463,0.290636859,nian2,year
46,过,0.003048645,0.293685504,guo4,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
47,发,0.002960683,0.296646186,fa1/fa4,"to send out/to show (one's feeling)/to issue/to develop, hair"
48,后,0.002949624,0.29959581,hou4,"empress/queen/surname, back/behind/rear/afterwards/after/later"
49,作,0.002805063,0.302400873,zuo4,to regard as/to take (somebody) for/to do/to make
50,里,0.002779245,0.305180118,li3,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"
51,用,0.002767281,0.307947399,yong4,to use
52,道,0.002763224,0.310710623,dao4,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
53,行,0.002748511,0.313459134,hang2/xing2/xing4,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"
54,所,0.002702931,0.316162065,suo3,actually/place
55,然,0.002640906,0.318802972,ran2,correct/right/so/thus/like this/-ly
56,家,0.002634519,0.321437491,jia1,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"
57,种,0.002601207,0.324038698,zhong3/zhong4,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"
58,事,0.002579647,0.326618344,shi4,matter/thing/item/work/affair
59,成,0.002578794,0.329197138,cheng2/cheng4,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
60,方,0.002546526,0.331743664,fang1,square/quadrilateral/direction/just
61,多,0.002489297,0.334232962,duo1,many/much/a lot of/numerous/multi-
62,经,0.002487483,0.336720445,jing1,classics/sacred book/pass through/to undergo/scripture
63,么,0.002470073,0.339190517,ma/me/yao1,"(interrog. part.), (interrog. suff.), one on dice/small"
64,去,0.002461293,0.34165181,qu4,to go/to leave/to remove
65,法,0.002412436,0.344064246,fa3,law/method/way/Buddhist teaching/Legalist/France (abbrev.)
66,学,0.002399232,0.346463478,xue2,learn/study/science/-ology
67,如,0.002320551,0.348784029,ru2,as (if)/such as
68,都,0.002271622,0.351055651,dou1/du1,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"
69,同,0.002261509,0.35331716,tong2,like/same/similar/together/alike/with
70,现,0.002242641,0.3555598,xian4,appear/present/now/existing/current
71,当,0.002218424,0.357778225,dang1/dang4,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
72,没,0.002212595,0.359990819,mei2/mo4,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
73,动,0.002205841,0.36219666,dong4,to use/to act/to move/to change
74,面,0.002197267,0.364393927,mian4,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
75,起,0.002195991,0.366589918,qi3,to rise/to raise/to get up
76,看,0.002194352,0.36878427,kan1/kan4,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
77,定,0.002183614,0.370967883,ding4,to set/to fix/to determine/to decide/to order
78,天,0.002169898,0.373137782,tian1,day/sky/heaven
79,分,0.002167304,0.375305085,fen1/fen4,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
80,还,0.002149077,0.377454162,hai2/huan2/huan4,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
81,进,0.002130013,0.379584175,jin4,advance/enter/to come in
82,好,0.002128462,0.381712637,hao3/hao4,"good/well, be fond of"
83,小,0.00212392,0.383836557,xiao3,small/tiny/few/young
