1,記,0.004112,0.004112,"キ, のり","scribe, account, narrative"
2,事,0.00411,0.008222,"ジ, こと, つか.える, ろ","matter, thing, fact, business, reason, possibly"
3,作,0.004108,0.01233,"サク, つく.る, -づく.り, くり, さっ, とも, はぎ","make, production, prepare, build"
4,新,0.004102,0.016432,"シン, あら.た, にい-, あせ, し, にっ, よし",new
5,日,0.004098,0.02053,"ニチ, ひ, -か, あ, いる, くさ, す, に, につ","day, sun, Japan"
6,会,0.00409,0.02462,"カイ, あ.う, あつ.まる, あい","meeting, meet, party, association, interview, join"
7,無,0.004087,0.028707,"ム, な.い","nothingness, none, ain't, nothing, nil, not"
8,本,0.004084,0.032791,"ホン, まと","book, present, main, true, real, no. of long things"
9,聞,0.004082,0.036873,"ブン, き.く","hear, ask, listen"
10,著,0.00408,0.040953,"チョ, あらわ.す","renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work"
11,意,0.004078,0.045031,"イ, もと","idea, mind, heart, taste, thought, desire, care, liking"
12,転,0.004072,0.049103,"テン, ころ.げる, ころ.ぶ, うたた","revolve, turn around, change"
13,権,0.004068,0.053171,"ケン, おもり, はか.る","authority, power, rights"
14,真,0.004066,0.057237,"シン, ま-, さな, ただ, なお, まあ, まさ, まど, まゆ, も","true, reality, Buddhist sect"
15,載,0.004066,0.061303,"サイ, の.る, とし","load, multiplication, power, 10**44"
16,社,0.004066,0.065369,"シャ, こそ","company, firm, office, association, shrine"
17,断,0.004066,0.069435,"ダン, ことわ.る","severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting"
18,文,0.004061,0.073496,"ブン, ふみ, かざり, も, ぶんにょう","sentence, literature, style, art, decoration, figures, plan"
19,写,0.004057,0.077553,"シャ, うつ.す, うつ-","copy, be photographed, describe"
20,読,0.004054,0.081607,"ドク, トウ, -よ.み, よみ",read
21,掲,0.004053,0.08566,ケイ,"put up (a notice), put up, hoist, display, hang out, publish, describe"
22,禁,0.004051,0.089711,キン,"prohibition, ban, forbid"
23,国,0.004047,0.093758,"コク, くな",country
24,年,0.004034,0.097792,"ネン, ね",year
25,治,0.003994,0.101786,"ジ, おさ.める, なお.る, し, はり, みち","reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve"
26,経,0.003986,0.105772,"ケイ, へ.る, たていと, のり, つね","sutra, longitude, pass thru, expire, warp"
27,者,0.003984,0.109756,シャ,"someone, person"
28,能,0.003982,0.113738,"ノウ, たか, のり","ability, talent, skill, capacity"
29,月,0.003981,0.117719,"ゲツ, つき, おと, す, もり","month, moon"
30,問,0.003975,0.121694,"モン, と.い, はる","question, ask, problem"
31,済,0.00396,0.125654,"サイ, す.む, -ずみ, す.ます, すく.う, わたし, すむ, わたる","finish, come to an end, excusable, need not"
32,図,0.00396,0.129614,"ズ, え, づ","map, drawing, plan, unexpected, accidentally"
33,際,0.003956,0.13357,"サイ, -ぎわ, わ","occasion, side, edge, verge, dangerous, adventurous, indecent, time, when"
34,報,0.003952,0.137522,ホウ,"report, news, reward, retribution"
35,見,0.003952,0.141474,"ケン, み.える","see, hopes, chances, idea, opinion, look at, visible"
36,情,0.003948,0.145422,"ジョウ, なさ.け","feelings, emotion, passion, sympathy, circumstances, facts"
37,芸,0.00394,0.149362,"ゲイ, う.える, わざ, き, なり","technique, art, craft, performance, acting, trick, stunt"
38,政,0.003927,0.153289,"セイ, まつりごと, ただ","politics, government"
39,一,0.003786,0.157075,"イチ, ひと-, かず, いっ, かつ, てん, ひ, まこと",one
40,大,0.003474,0.160549,"ダイ, おお-, -おお.いに, うふ, おう, たかし, はじめ, ひろし, まさる, わ","large, big"
41,人,0.003469,0.164018,"ジン, ひと, -と, じ, ね, ふみ",person
42,表,0.003465,0.167483,"ヒョウ, -おもて, あらわ.れる","surface, table, chart, diagram"
43,要,0.003455,0.170938,"ヨウ, かなめ","need, main point, essence, pivot, key to"
44,提,0.003375,0.174313,"テイ, ダイ","propose, take along, carry in hand"
45,覧,0.003342,0.177655,ラン,"perusal, see"
46,供,0.003286,0.180941,"キョウ, クウ, そな.える, -ども","submit, offer, present, serve (meal), accompany"
47,変,0.003257,0.184198,"ヘン, か.わり","unusual, change, strange"
48,投,0.00323,0.187428,"トウ, -な.げ","throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss"
49,更,0.003214,0.190642,"コウ, さら.に, ふ.かす","grow late, night watch, sit up late, of course"
50,応,0.003214,0.193856,"オウ, ヨウ, まさに, お, まさ","apply, answer, yes, OK, reply, accept"
51,止,0.003213,0.197069,"シ, -ど.まり, -と.める, とど.める, とど.まる, や.む, よ.す, -さ.し, どめ","stop, halt"
52,面,0.003178,0.200247,"メン, おも, つら, お, ほおつき","mask, face, features, surface"
53,中,0.003171,0.203418,"チュウ, うち, あたる","in, inside, middle, mean, center"
54,必,0.003164,0.206582,ヒツ,"invariably, certain, inevitable"
55,質,0.003141,0.209723,"シツ, チ, ただ.す, わりふ","substance, quality, matter, temperament"
56,全,0.003135,0.212858,"ゼン, すべ.て, たけ","whole, entire, all, complete, fulfill"
57,出,0.003055,0.215913,"シュツ, で.る, だ.す, い.でる, いず, いで, すっ, てん","exit, leave"
58,毎,0.00301,0.218923,"マイ, -ごと.に, つね",every
59,暮,0.002966,0.221889,"ボ, く.らす, ぐらし, ぽ","livelihood, make a living, spend time"
60,稿,0.002964,0.224853,"コウ, したがき","draft, copy, manuscript, straw"
61,上,0.002953,0.227806,"ジョウ, シャン, -うえ, かみ, -あ.げる, -あ.がる, -あ.がり, のぼ.り, のぼ.す, あおい, い, かき, かん, のぼり","above, up"
62,属,0.002951,0.230757,"ゾク, さかん, やから, さっか","belong, genus, subordinate official, affiliated"
63,東,0.002713,0.23347,"トウ, あい, あずま, こ, しの, はる, もと",east
64,合,0.002691,0.236161,"ゴウ, カッ, -あ.う, あい-, -あい, あ.わせる, あう, い, こう, に, や, わい","fit, suit, join, 0.1"
65,高,0.002673,0.238834,"コウ, たか, たか.まる, か, じょい, はか","tall, high, expensive"
66,時,0.002662,0.241496,"ジ, -どき, と","time, hour"
67,地,0.00265,0.244146,"チ, どま","ground, earth"
68,生,0.002637,0.246783,"セイ, い.きる, い.ける, う.まれ, う.む, は.える, き, なま-, な.す, -う, あさ, いく, うぶ, え, ぎゅう, ごせ, じょう, そ, ちる, にう, ふ, もう, りゅう","life, genuine, birth"
